UNIT,ROW,RANGE,REP,Substrate,Genotype
1,1,1,1,S2,EPPN2_H
2,2,1,1,S1,EPPN_T
3,3,1,2,S2,EPPN1_H
4,4,1,2,S1,EPPN2_H
5,5,1,3,S2,EPPN1_L
6,6,1,3,S1,EPPN3_L
7,7,1,4,S1,EPPN4_H
8,8,1,4,S2,EPPN2_L
9,9,1,5,S1,EPPN2_L
10,10,1,5,S2,EPPN3_H
11,11,1,6,S2,EPPN3_L
12,12,1,6,S1,EPPN4_L
13,1,2,1,S2,EPPN3_H
14,2,2,1,S1,EPPN3_L
15,3,2,2,S2,EPPN4_H
16,4,2,2,S1,EPPN2_L
17,5,2,3,S2,EPPN4_L
18,6,2,3,S1,EPPN4_L
19,7,2,4,S1,EPPN1_L
20,8,2,4,S2,EPPN_T
21,9,2,5,S1,EPPN4_H
22,10,2,5,S2,EPPN1_L
23,11,2,6,S2,EPPN1_H
24,12,2,6,S1,EPPN2_H
25,1,3,1,S2,EPPN_T
26,2,3,1,S1,EPPN2_H
27,3,3,2,S2,EPPN3_L
28,4,3,2,S1,EPPN4_L
29,5,3,3,S2,EPPN1_H
30,6,3,3,S1,EPPN2_L
31,7,3,4,S1,EPPN3_H
32,8,3,4,S2,EPPN1_L
33,9,3,5,S1,EPPN_T
34,10,3,5,S2,EPPN4_H
35,11,3,6,S2,EPPN2_H
36,12,3,6,S1,EPPN1_H
37,1,4,1,S2,EPPN4_L
38,2,4,1,S1,EPPN2_L
39,3,4,2,S2,EPPN1_L
40,4,4,2,S1,EPPN_T
41,5,4,3,S2,EPPN2_H
42,6,4,3,S1,EPPN1_H
43,7,4,4,S1,EPPN3_L
44,8,4,4,S2,EPPN3_H
45,9,4,5,S1,EPPN3_H
46,10,4,5,S2,EPPN1_H
47,11,4,6,S2,EPPN_T
48,12,4,6,S1,EPPN4_H
49,1,5,1,S2,EPPN3_L
50,2,5,1,S1,EPPN4_L
51,3,5,2,S2,EPPN4_L
52,4,5,2,S1,EPPN4_H
53,5,5,3,S2,EPPN4_H
54,6,5,3,S1,EPPN1_L
55,7,5,4,S1,EPPN_T
56,8,5,4,S2,EPPN2_H
57,9,5,5,S1,EPPN1_H
58,10,5,5,S2,EPPN2_L
59,11,5,6,S2,EPPN3_H
60,12,5,6,S1,EPPN2_L
61,1,6,1,S2,EPPN2_L
62,2,6,1,S1,EPPN4_H
63,3,6,2,S2,EPPN2_H
64,4,6,2,S1,EPPN1_H
65,5,6,3,S2,EPPN3_L
66,6,6,3,S1,EPPN3_H
67,7,6,4,S1,EPPN4_L
68,8,6,4,S2,EPPN4_H
69,9,6,5,S1,EPPN1_L
70,10,6,5,S2,EPPN_T
71,11,6,6,S2,EPPN1_L
72,12,6,6,S1,EPPN3_L
73,1,7,1,S2,EPPN1_H
74,2,7,1,S1,EPPN1_H
75,3,7,2,S2,EPPN_T
76,4,7,2,S1,EPPN1_L
77,5,7,3,S2,EPPN3_H
78,6,7,3,S1,EPPN4_H
79,7,7,4,S1,EPPN2_H
80,8,7,4,S2,EPPN3_L
81,9,7,5,S1,EPPN4_L
82,10,7,5,S2,EPPN4_L
83,11,7,6,S2,EPPN2_L
84,12,7,6,S1,EPPN3_H
85,1,8,1,S2,EPPN4_H
86,2,8,1,S1,EPPN3_H
87,3,8,2,S2,EPPN2_L
88,4,8,2,S1,EPPN3_L
89,5,8,3,S2,EPPN_T
90,6,8,3,S1,EPPN_T
91,7,8,4,S1,EPPN2_L
92,8,8,4,S2,EPPN1_H
93,9,8,5,S1,EPPN2_H
94,10,8,5,S2,EPPN3_L
95,11,8,6,S2,EPPN4_L
96,12,8,6,S1,EPPN1_L
97,1,9,1,S2,EPPN1_L
98,2,9,1,S1,EPPN1_L
99,3,9,2,S2,EPPN3_H
100,4,9,2,S1,EPPN3_H
101,5,9,3,S2,EPPN2_L
102,6,9,3,S1,EPPN2_H
103,7,9,4,S1,EPPN1_H
104,8,9,4,S2,EPPN4_L
105,9,9,5,S1,EPPN3_L
106,10,9,5,S2,EPPN2_H
107,11,9,6,S2,EPPN4_H
108,12,9,6,S1,EPPN_T
